poste,ville,type_contrat,experience_requise,salaire_annuel,date_publication,annee,trimestre,teletravail_possible,niveau_urgence,future_interest,interest_score
ux/ui designer,bordeaux,cdi,confirmé (5-8 ans),0.4342717881565546,2020-01-01,0.0,q1,False,moyen,1,0.5471124
commercial b2b,lyon,cdd,intermédiaire (2-5 ans),0.4448839662447257,2020-01-01,0.0,q1,False,élevé,1,0.58136237
contrôleur de gestion,paris,cdd,confirmé (5-8 ans),0.509384548232213,2020-01-01,0.0,q1,False,faible,0,0.35000122
chef de projet digital,paris,cdi,intermédiaire (2-5 ans),0.4338807653135457,2020-01-03,0.0,q1,False,moyen,1,0.59111476
chef de projet digital,paris,cdd,confirmé (5-8 ans),0.5299632620398661,2020-01-13,0.0,q1,False,moyen,1,0.59111476
data scientist,lille,cdd,intermédiaire (2-5 ans),0.5087752800814782,2020-01-17,0.0,q1,True,faible,1,0.5588574
développeur full stack,rennes,cdi,intermédiaire (2-5 ans),0.4075731121780881,2020-01-17,0.0,q1,True,moyen,1,0.44612128
chef de projet digital,paris,alternance,intermédiaire (2-5 ans),0.0921904554052087,2020-01-19,0.0,q1,True,moyen,1,0.59111476
data scientist,toulouse,cdi,confirmé (5-8 ans),0.5132311217808817,2020-01-19,0.0,q1,False,moyen,0,0.5588574
ingénieur devops,lyon,cdd,débutant (0-2 ans),0.3807289393278044,2020-01-19,0.0,q1,False,élevé,1,0.6240608
business analyst,nantes,cdd,intermédiaire (2-5 ans),0.371871817255929,2020-01-21,0.0,q1,False,élevé,0,0.42929092
développeur full stack,paris,cdd,senior (8+ ans),0.7314491488432999,2020-01-22,0.0,q1,True,moyen,1,0.44612128
data scientist,lyon,stage,intermédiaire (2-5 ans),0.0544340171686308,2020-01-22,0.0,q1,True,élevé,0,0.5588574
ux/ui designer,lyon,cdd,intermédiaire (2-5 ans),0.4015440855521606,2020-01-22,0.0,q1,False,faible,0,0.5471124
responsable rh,bordeaux,cdi,confirmé (5-8 ans),0.5401207624036083,2020-01-29,0.0,q1,False,élevé,0,0.4071675
architecte cloud,strasbourg,cdi,confirmé (5-8 ans),0.6687581841990398,2020-01-30,0.0,q1,False,moyen,0,0.35840565
responsable marketing digital,toulouse,cdd,intermédiaire (2-5 ans),0.4786756147242834,2020-02-03,0.0,q1,False,moyen,1,0.44674724
contrôleur de gestion,paris,freelance,intermédiaire (2-5 ans),0.5804779572239197,2020-02-11,0.0,q1,False,moyen,0,0.35000122
développeur full stack,lyon,cdd,débutant (0-2 ans),0.3264131383675251,2020-02-12,0.0,q1,True,élevé,1,0.44612128
data scientist,paris,cdi,débutant (0-2 ans),0.282554925069111,2020-02-12,0.0,q1,True,moyen,1,0.5588574
business analyst,lille,freelance,senior (8+ ans),0.8594136476065765,2020-02-12,0.0,q1,True,faible,0,0.42929092
ingénieur ia,rennes,stage,confirmé (5-8 ans),0.1224265240797322,2020-02-15,0.0,q1,False,moyen,0,0.47765684
data scientist,rennes,cdd,débutant (0-2 ans),0.3470555070565982,2020-02-15,0.0,q1,True,faible,1,0.5588574
commercial b2b,bordeaux,cdi,confirmé (5-8 ans),0.5080659828313692,2020-02-20,0.0,q1,False,moyen,1,0.58136237
architecte cloud,toulouse,alternance,confirmé (5-8 ans),0.1937836461516077,2020-02-23,0.0,q1,False,moyen,1,0.35840565
data scientist,toulouse,cdi,senior (8+ ans),0.640640913720355,2020-03-02,0.0,q1,True,élevé,1,0.5588574
chef de projet digital,paris,cdd,débutant (0-2 ans),0.3387167175905718,2020-03-16,0.0,q1,False,élevé,1,0.59111476
data scientist,toulouse,cdi,intermédiaire (2-5 ans),0.4526407682234832,2020-03-22,0.0,q1,False,moyen,1,0.5588574
chargé de communication,paris,cdi,intermédiaire (2-5 ans),0.2998599592608759,2020-03-23,0.0,q1,False,moyen,0,0.6947753
